5885.9890 0.9552 0.1720
5887.2320 0.9488 0.0890
5891.6480 0.9404 0.1280
5892.4120 0.9537 0.1030
5898.1680 0.9486 0.1490
5899.9880 0.9415 0.2660
5901.4590 0.9445 0.1580
5909.0000 0.9726 0.1590
5910.2420 0.9746 0.4020
5918.4350 0.9564 0.1660
5919.0490 0.9547 0.1650
5919.6500 0.9492 0.1400
5922.5370 0.9702 0.0420
5923.7530 0.9650 0.3460
5924.2760 0.9667 0.1140
5932.0830 0.9636 0.1590
5940.4140 0.9707 0.5410
5941.0890 0.9470 0.1480
5941.6220 0.9561 0.3390
5942.6050 0.9556 0.0350
5946.0100 0.9691 0.0430
6203.7620 0.9815 0.0490
6276.6260 0.8475 0.1820
6276.8280 0.8647 0.1350
6277.3980 0.8013 0.3950
6277.6060 0.8673 0.2630
6278.1010 0.7197 0.1600
6278.3790 0.9558 0.2360
6278.8870 0.8354 0.1650
6279.1050 0.8175 0.1670
6279.9010 0.8273 0.1490
6280.3970 0.8137 0.1460
6281.1830 0.8475 0.1480
6281.9610 0.8387 0.1520
6282.7280 0.8585 0.1680
6283.7980 0.8702 0.2050
6284.5410 0.9290 0.2150
6287.7570 0.9068 0.1490
6289.4030 0.8949 0.1450
6290.2260 0.8603 0.1570
6292.1670 0.8637 0.1400
6292.6440 0.9846 0.0840
6292.9630 0.8282 0.1460
6294.7520 0.9858 0.0900
6295.1810 0.8472 0.1420
6295.9650 0.8260 0.1450
6298.4600 0.8485 0.1460
6299.2320 0.8337 0.1520
6302.0020 0.8588 0.1420
6302.7680 0.8471 0.1430
6305.8120 0.8838 0.1440
6306.5680 0.8786 0.1430
6309.8910 0.9187 0.1510
6310.6430 0.9148 0.1480
6314.0710 0.9851 0.1430
6314.2420 0.9328 0.1370
6314.9830 0.9337 0.1610
6318.8540 0.9597 0.1350
6319.6000 0.9584 0.1330
6323.7730 0.9679 0.2080
6324.4650 0.9767 0.1780
6328.9020 0.9853 0.1010
6332.0980 0.9772 0.0380
6458.9240 0.9809 0.0310
6469.9900 0.9806 0.0430
6472.4840 0.9813 0.0300
6473.2110 0.9766 0.0450
6475.1460 0.9709 0.4230
6475.8320 0.9588 0.1740
6480.0810 0.9479 0.1800
6481.0380 0.9738 0.0730
6483.2440 0.9564 0.1630
6483.8610 0.9672 0.4050
6486.7790 0.9731 0.2100
6488.9940 0.9832 0.0170
6490.8000 0.9522 0.1670
6492.9200 0.9551 0.1540
6493.2500 0.9768 0.1240
6495.8740 0.9464 0.1360
6497.5680 0.9801 0.3840
6508.5970 0.9728 0.1160
6514.7330 0.9538 0.1570
6516.5750 0.9392 0.2020
6517.1090 0.9701 0.1300
6519.4790 0.9680 0.2190
6523.8720 0.9736 0.3150
6532.3510 0.9656 0.1200
6534.0380 0.9797 0.2180
6536.5970 0.9876 0.0180
6543.9120 0.9537 0.1550
6547.6990 0.9725 0.3570
6548.6510 0.9579 0.1950
6552.6460 0.9267 0.1940
6557.1520 0.8546 0.0330
6572.0790 0.9477 0.2730
6574.8800 0.9195 0.2380
