12847.187193 4.866E-29 .03320 .036
12848.943885 4.696E-29 .03320 .036
12849.566270 2.900E-31 .03320 .036
12858.256218 9.952E-29 .03540 .037
12860.030407 9.574E-29 .03540 .037
12868.927763 1.917E-28 .03760 .040
12870.719592 1.838E-28 .03760 .040
12871.388080 6.000E-31 .03540 .037
12879.203619 3.477E-28 .03980 .042
12881.013264 3.319E-28 .03980 .042
12889.085363 5.929E-28 .04170 .043
12890.913050 5.629E-28 .04170 .043
12892.859360 1.150E-30 .03760 .039
12898.574360 9.492E-28 .04340 .043
12899.260968 4.211E-29 .02330 .027
12900.420384 8.956E-28 .04340 .043
12900.876614 4.119E-29 .02330 .027
12907.671759 1.424E-27 .04470 .045
12909.536518 1.333E-27 .04470 .045
12913.221492 1.373E-28 .02390 .028
12913.979820 2.110E-30 .03980 .041
12914.854071 1.341E-28 .02390 .028
12916.378499 1.997E-27 .04580 .047
12918.262550 1.852E-27 .04580 .047
12924.695302 2.609E-27 .04680 .048
12926.599465 2.389E-27 .04680 .048
12926.783009 4.233E-28 .02460 .029
12928.432561 4.130E-28 .02460 .029
12932.622680 3.160E-27 .04780 .049
12934.548237 2.844E-27 .04780 .049
12934.748950 3.620E-30 .04170 .042
12939.949105 1.234E-27 .02550 .029
12940.160930 3.522E-27 .04910 .049
12941.615675 1.202E-27 .02550 .029
12942.110059 3.093E-27 .04910 .049
12947.310136 3.565E-27 .05070 .052
12949.287021 3.014E-27 .05070 .052
12952.723123 3.397E-27 .02660 .030
12954.070167 3.202E-27 .05300 .053
12954.406761 3.304E-27 .02660 .030
12955.166060 5.860E-30 .04340 .043
12956.084590 2.532E-27 .05300 .053
12960.440683 2.418E-27 .05630 .055
12962.526313 1.650E-27 .05630 .055
12965.108162 8.838E-27 .02780 .032
12966.421806 1.296E-27 .06150 .059
12966.808930 8.579E-27 .02780 .032
12974.658663 6.486E-28 .05630 .055
12975.230270 8.830E-30 .04470 .044
12975.867106 2.666E-29 .02780 .032
12976.543778 1.505E-27 .05630 .055
12977.107088 2.170E-26 .02940 .033
12977.582955 2.591E-29 .02780 .032
12978.825055 2.102E-26 .02940 .033
12979.660093 1.817E-27 .05300 .053
12981.575607 4.098E-29 .02860 .032
12981.616474 2.630E-27 .05300 .053
12983.299546 3.979E-29 .02860 .032
12984.267824 2.674E-27 .05070 .052
12986.261834 3.404E-27 .05070 .052
12987.193454 6.211E-29 .02940 .033
12988.480340 3.130E-27 .04910 .049
12988.722531 5.029E-26 .03120 .034
12988.925501 6.024E-29 .02940 .033
12990.457779 4.860E-26 .03120 .034
12990.502232 3.749E-27 .04910 .049
12992.295912 3.182E-27 .04780 .049
12992.720944 9.286E-29 .03030 .033
12994.341536 3.680E-27 .04780 .049
12994.461116 8.997E-29 .03030 .033
12994.940550 1.250E-29 .04580 .046
12995.712598 2.911E-27 .04680 .048
12997.779808 3.289E-27 .04680 .048
12998.158360 1.369E-28 .03120 .034
12998.728241 2.437E-27 .04580 .047
12999.906677 1.325E-28 .03120 .034
12999.956891 1.099E-25 .03320 .035
